smiles,value
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(C(O)c3ccccc3)c2)c(O)c1,7.99
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Cl)c2)c(O)c1,6.44
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Oc3ccccc3)c2)c(O)c1,7.6
C=CC(=O)Nc1ccc(Nc2ncc3ncc(=O)n(-c4ccc(OC)cc4)c3n2)cc1,4.47
C=CC(=O)Nc1ccc(O)c(C(=O)Nc2cccc(Br)c2)c1,8.05
C=CC(=O)Nc1ccc(O)c(C(=O)Nc2cccc(Cl)c2)c1,6.48
C=CC(=O)Nc1ccc(OC)c(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c1,6.26
C=CC(=O)Nc1ccc(OC)c(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c1,4.89
C=CC(=O)Nc1ccc2[nH]cnc(NC3=CC(=C)C=CC3)c1-2,9.38
C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.6
C=CC(=O)Nc1ccc2c(Nc3cccc(C)c3)ncnc2c1,8.8
C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.6
C=CC(=O)Nc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2,5.31
C=CC(=O)Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2,5.27
